"","elevation","slope","twi","tpi20","tpi100","pdep","dist_streams","blue","green","red","nir"
"elevation",1,0.156004611797378,-0.242845095439781,-0.197134943419946,0.0295677955954275,0.159173237842543,-0.0197821423983656,-0.0513169865216548,0.0420150201151693,-0.065287038650118,-0.0146264562409764
"slope",0.156004611797378,1,-0.532720384497106,0.0324024081472231,0.621097004086655,-0.481693582669138,0.123255002947316,-0.0343245468688155,-0.0838434945689475,-0.0620381591533521,-0.106120294796124
"twi",-0.242845095439781,-0.532720384497106,1,0.0491659182954424,-0.198216684456604,0.482084235858609,-0.00345324505781087,0.0353244296405302,-0.0817888985299495,0.0576294526516633,-0.0298081184944758
"tpi20",-0.197134943419946,0.0324024081472231,0.0491659182954424,1,0.190481653450766,-0.0737085769453012,0.181876787984905,-0.0865244725271706,-0.0946480851639134,-0.0961309550548466,0.169053508616737
"tpi100",0.0295677955954275,0.621097004086655,-0.198216684456604,0.190481653450766,1,-0.242690591267775,0.0738246548284497,-0.191592569762785,-0.172306481321747,-0.200092614929852,0.0123525232551702
"pdep",0.159173237842543,-0.481693582669138,0.482084235858609,-0.0737085769453012,-0.242690591267775,1,-0.240226962348313,0.142326756513665,0.0267574473840252,0.178815414495111,-0.150224396544538
"dist_streams",-0.0197821423983656,0.123255002947316,-0.00345324505781087,0.181876787984905,0.0738246548284497,-0.240226962348313,1,-0.00698346691279498,0.00399586535446469,-0.0483987865947594,0.241061577536684
"blue",-0.0513169865216548,-0.0343245468688155,0.0353244296405302,-0.0865244725271706,-0.191592569762785,0.142326756513665,-0.00698346691279498,1,0.810004806211809,0.919439178665441,-0.0662165905476663
"green",0.0420150201151693,-0.0838434945689475,-0.0817888985299495,-0.0946480851639134,-0.172306481321747,0.0267574473840252,0.00399586535446469,0.810004806211809,1,0.742991881703308,0.362649367508574
"red",-0.065287038650118,-0.0620381591533521,0.0576294526516633,-0.0961309550548466,-0.200092614929852,0.178815414495111,-0.0483987865947594,0.919439178665441,0.742991881703308,1,-0.120140880301401
"nir",-0.0146264562409764,-0.106120294796124,-0.0298081184944758,0.169053508616737,0.0123525232551702,-0.150224396544538,0.241061577536684,-0.0662165905476663,0.362649367508574,-0.120140880301401,1
