"","elevation","slope","twi","tpi20","tpi100","pdep","dist_streams","blue","green","red","nir","ndvi"
"elevation",1,0.298301684705938,-0.358650496535733,-0.0436355616830655,0.0397719077704075,0.042477675176639,0.106738886135929,0.0401634191085324,0.0804512170580535,0.00941004344557946,-0.0632421541132961,0.0207959495123459
"slope",0.298301684705938,1,-0.655403056324298,0.200609987713027,0.642992491928993,-0.598079605408874,0.244073213493184,0.154958038646523,0.0983302875706276,0.124841931212134,-0.0758879053875914,-0.00199410430101
"twi",-0.358650496535733,-0.655403056324298,1,-0.175493720155334,-0.316482906817277,0.572723481275606,-0.143166987596283,-0.151060208035341,-0.189130993327893,-0.124481768554446,-0.00850578348315976,-0.0244607115417475
"tpi20",-0.0436355616830655,0.200609987713027,-0.175493720155334,1,0.499150835808241,-0.137360946033873,0.237198350299866,0.416671986006151,0.398211445202644,0.428815266651914,0.195431162982172,-0.0924162614641703
"tpi100",0.0397719077704075,0.642992491928993,-0.316482906817277,0.499150835808241,1,-0.337192455567074,0.193059971714568,0.167868954251583,0.136621535145825,0.159777751352881,0.0757545545566285,-0.00107715979693199
"pdep",0.042477675176639,-0.598079605408874,0.572723481275606,-0.137360946033873,-0.337192455567074,1,-0.271698248615763,-0.0693712124420212,-0.0874621637935551,-0.0302679865645204,-0.0440664630664012,-0.0780919814258574
"dist_streams",0.106738886135929,0.244073213493184,-0.143166987596283,0.237198350299866,0.193059971714568,-0.271698248615763,1,0.113840948232309,0.148688626555161,0.0868930893315323,0.255058704837731,0.0680331128724148
"blue",0.0401634191085324,0.154958038646523,-0.151060208035341,0.416671986006151,0.167868954251583,-0.0693712124420212,0.113840948232309,1,0.879566196881978,0.948927315030787,-0.0580692788030315,-0.673162809314842
"green",0.0804512170580535,0.0983302875706276,-0.189130993327893,0.398211445202644,0.136621535145825,-0.0874621637935551,0.148688626555161,0.879566196881978,1,0.838566573182332,0.300286447455001,-0.424704618793659
"red",0.00941004344557946,0.124841931212134,-0.124481768554446,0.428815266651914,0.159777751352881,-0.0302679865645204,0.0868930893315323,0.948927315030787,0.838566573182332,1,-0.0717510240201446,-0.639371199673502
"nir",-0.0632421541132961,-0.0758879053875914,-0.00850578348315976,0.195431162982172,0.0757545545566285,-0.0440664630664012,0.255058704837731,-0.0580692788030315,0.300286447455001,-0.0717510240201446,1,0.645806810276905
"ndvi",0.0207959495123459,-0.00199410430101,-0.0244607115417475,-0.0924162614641703,-0.00107715979693199,-0.0780919814258574,0.0680331128724148,-0.673162809314842,-0.424704618793659,-0.639371199673502,0.645806810276905,1
